prompt,completion,opposite_sent
damaged is an antonym of <extra_id_0>,"['damageds', 'discredited', 'injured', 'damaged', 'faulty', 'wounded', 'defective']",damaged is a synonym of <extra_id_0>
damaged is a synonym of <extra_id_0>,"['complete', 'undamaged', 'perfect']",damaged is an antonym of <extra_id_0>
impromptu is an antonym of <extra_id_0>,"['address', 'extemporaneous', 'impromptu', 'passage', 'spontaneously', 'impromptus']",impromptu is a synonym of <extra_id_0>
roaring is an antonym of <extra_id_0>,"['roaring', 'roarings', 'boom', 'flourishing', 'laughing', 'bellow']",roaring is a synonym of <extra_id_0>
recreational is an antonym of <extra_id_0>,"['recreational', 'rec', 'recreationals']",recreational is a synonym of <extra_id_0>
hippy is an antonym of <extra_id_0>,"['hippie', 'hippies', 'person', 'hippy']",hippy is a synonym of <extra_id_0>
alive is an antonym of <extra_id_0>,"['animated', 'alive', 'album', 'active', 'alert', 'alives']",alive is a synonym of <extra_id_0>
alive is a synonym of <extra_id_0>,['dead'],alive is an antonym of <extra_id_0>
muddy is an antonym of <extra_id_0>,"['muddy', 'mucky', 'muddies', 'muddied', 'waterlogged', 'turbid', 'dirty']",muddy is a synonym of <extra_id_0>
puffy is an antonym of <extra_id_0>,"['gusty', 'intumescent', 'puffy', 'puffies']",puffy is a synonym of <extra_id_0>
own is an antonym of <extra_id_0>,"['responsible', 'ain', 'own', 'owns', 'confess', 'beat', 'possess']",own is a synonym of <extra_id_0>
own is a synonym of <extra_id_0>,"['lease', 'rent', 'have', 'disown']",own is an antonym of <extra_id_0>
geometric is an antonym of <extra_id_0>,"['geometrical', 'geometrics', 'geometric']",geometric is a synonym of <extra_id_0>
grungy is an antonym of <extra_id_0>,"['grungies', 'begrimed', 'grungy', 'grungelike']",grungy is a synonym of <extra_id_0>
spartan is an antonym of <extra_id_0>,"['ascetical', 'spartan', 'Hellene', 'spartans']",spartan is a synonym of <extra_id_0>
preteen is an antonym of <extra_id_0>,"['juvenile', 'preteen', 'preadolescent', 'preteens']",preteen is a synonym of <extra_id_0>
conical is an antonym of <extra_id_0>,"['conical', 'conic', 'conicals']",conical is a synonym of <extra_id_0>
domed is an antonym of <extra_id_0>,"['vaulted', 'domed', 'hemispherical', 'domeds']",domed is a synonym of <extra_id_0>
intelligent is an antonym of <extra_id_0>,"['clever', 'well-informed', 'intelligents', 'level-headed', 'intelligent']",intelligent is a synonym of <extra_id_0>
intelligent is a synonym of <extra_id_0>,['stupid'],intelligent is an antonym of <extra_id_0>
graceful is an antonym of <extra_id_0>,"['graceful', 'gracefuls']",graceful is a synonym of <extra_id_0>
graceful is a synonym of <extra_id_0>,"['clumsy', 'graceless']",graceful is an antonym of <extra_id_0>
leafless is an antonym of <extra_id_0>,"['leafless', 'leaflesses']",leafless is a synonym of <extra_id_0>
leafless is a synonym of <extra_id_0>,['leafy'],leafless is an antonym of <extra_id_0>
reflective is an antonym of <extra_id_0>,"['reflective', 'meditative', 'reflectives']",reflective is a synonym of <extra_id_0>
diving is an antonym of <extra_id_0>,"['diving', 'match', 'dive', 'divings', 'sport']",diving is a synonym of <extra_id_0>
obese is an antonym of <extra_id_0>,"['corpulent', 'obese', 'obeses']",obese is a synonym of <extra_id_0>
downstream is an antonym of <extra_id_0>,"['downstreams', 'downstream', 'downriver']",downstream is a synonym of <extra_id_0>
downstream is a synonym of <extra_id_0>,['upstream'],downstream is an antonym of <extra_id_0>
deep is an antonym of <extra_id_0>,"['bass', 'low', 'trench', 'deep', 'heavy', 'deeps', 'inscrutable', 'recondite', 'great', 'middle', 'deeply', 'bright', 'fast', 'ocean', 'company', 'thick']",deep is a synonym of <extra_id_0>
deep is a synonym of <extra_id_0>,"['high', 'frivolous', 'light', 'shallow', 'narrow']",deep is an antonym of <extra_id_0>
austere is an antonym of <extra_id_0>,"['ascetical', 'austere', 'stern', 'austeres', 'simple']",austere is a synonym of <extra_id_0>
austere is a synonym of <extra_id_0>,['overwrought'],austere is an antonym of <extra_id_0>
significant is an antonym of <extra_id_0>,"['important', 'appreciable', 'significants', 'significant']",significant is a synonym of <extra_id_0>
significant is a synonym of <extra_id_0>,"['slight', 'insignificant', 'negligible', 'ignorable']",significant is an antonym of <extra_id_0>
northern is an antonym of <extra_id_0>,"['septentrional', 'northerly', 'northern', 'boreal', 'northerns']",northern is a synonym of <extra_id_0>
northern is a synonym of <extra_id_0>,"['austral', 'southern', 'meridional']",northern is an antonym of <extra_id_0>
worst is an antonym of <extra_id_0>,"['worst', 'most', 'baddest', 'illest', 'evil', 'attempt', 'result', 'worsts']",worst is a synonym of <extra_id_0>
worst is a synonym of <extra_id_0>,['best'],worst is an antonym of <extra_id_0>
massive is an antonym of <extra_id_0>,"['colossal', 'awesome', 'massives', 'bulky', 'massive', 'consequential', 'monolithic']",massive is a synonym of <extra_id_0>
massive is a synonym of <extra_id_0>,"['inconsequential', 'massless', 'dwarf', 'lame', 'insubstantial']",massive is an antonym of <extra_id_0>
lame is an antonym of <extra_id_0>,"['feeble', 'square', 'cripple', 'boring', 'fabric', 'hobbling', 'lames', 'software', 'lame', 'crippled', 'weak']",lame is a synonym of <extra_id_0>
lame is a synonym of <extra_id_0>,"['efficient', 'cool', 'convincing']",lame is an antonym of <extra_id_0>
prepared is an antonym of <extra_id_0>,"['prepareds', 'fain', 'prepared']",prepared is a synonym of <extra_id_0>
poisonous is an antonym of <extra_id_0>,"['toxicant', 'toxic', 'poisonouss', 'poisonous', 'attery', 'venomous']",poisonous is a synonym of <extra_id_0>
tall is an antonym of <extra_id_0>,"['talls', 'magniloquent', 'marvellous', 'size', 'tall']",tall is a synonym of <extra_id_0>
tall is a synonym of <extra_id_0>,['short'],tall is an antonym of <extra_id_0>
glacial is an antonym of <extra_id_0>,"['glacials', 'glacial', 'freezing', 'frigid']",glacial is a synonym of <extra_id_0>
smart is an antonym of <extra_id_0>,"['voguish', 'smart', 'attractive', 'silly', 'pain', 'smarts', 'bright', 'cultivated', 'ache', 'company', 'impertinent']",smart is a synonym of <extra_id_0>
smart is a synonym of <extra_id_0>,"['ignorant', 'bright', 'intelligent', 'backward', 'garish']",smart is an antonym of <extra_id_0>
young is an antonym of <extra_id_0>,"['youthful', 'animal', 'offspring', 'untested', 'young', 'youngs', 'underdeveloped', 'recent', 'juvenile', 'inexperienced']",young is a synonym of <extra_id_0>
young is a synonym of <extra_id_0>,"['senior', 'mature', 'aged', 'old']",young is an antonym of <extra_id_0>
unconscious is an antonym of <extra_id_0>,"['unconscious', 'unconsciouss', 'insentient']",unconscious is a synonym of <extra_id_0>
unconscious is a synonym of <extra_id_0>,['conscious'],unconscious is an antonym of <extra_id_0>
solitary is an antonym of <extra_id_0>,"['solitary', 'unfrequented', 'lone', 'hermit', 'solitaries', 'nongregarious', 'lonely']",solitary is a synonym of <extra_id_0>
free is an antonym of <extra_id_0>,"['destitute', 'liberate', 'frees', 'rid', 'costless', 'liberal', 'people', 'absolve', 'complimentary', 'spare', 'free', 'release', 'loose', 'unblock', 'detached', 'dislodge', 'exempt']",free is a synonym of <extra_id_0>
free is a synonym of <extra_id_0>,"['pay', 'expensive', 'caged', 'unfree', 'enslaved', 'cost', 'trapped', 'buy', 'slave', 'prison', 'bondage', 'imprisoned', 'costly', 'jailed', 'paying', 'slavery', 'costs', 'captive', 'paid', 'enchained', 'prisoner']",free is an antonym of <extra_id_0>
neat is an antonym of <extra_id_0>,"['neats', 'full-strength', 'bang-up', 'orderly', 'facile', 'tidy', 'neat']",neat is a synonym of <extra_id_0>
neat is a synonym of <extra_id_0>,"['disorganized', 'untidy']",neat is an antonym of <extra_id_0>
standard is an antonym of <extra_id_0>,"['post', 'criterion', 'flag', 'standard', 'rule', 'value', 'standards', 'formal', 'newspaper']",standard is a synonym of <extra_id_0>
standard is a synonym of <extra_id_0>,"['informal', 'nonstandard', 'colloquial']",standard is an antonym of <extra_id_0>
total is an antonym of <extra_id_0>,"['magazine', 'entire', 'sum', 'demolish', 'totals', 'amount', 'total', 'whole', 'absolute', 'full']",total is a synonym of <extra_id_0>
nearest is an antonym of <extra_id_0>,"['nearest', 'closest', 'nearests']",nearest is a synonym of <extra_id_0>
slow is an antonym of <extra_id_0>,"['gradual', 'slows', 'boring', 'decelerate', 'dilatory', 'tardily', 'sluggish', 'dense', 'deliberate', 'delay', 'behind', 'slow', 'deadening']",slow is a synonym of <extra_id_0>
slow is a synonym of <extra_id_0>,"['rapid', 'hasty', 'brisk', 'fast', 'prompt']",slow is an antonym of <extra_id_0>
negative is an antonym of <extra_id_0>,"['film', 'damaging', 'negatives', 'negative', 'denial', 'veto', 'undesirable']",negative is a synonym of <extra_id_0>
negative is a synonym of <extra_id_0>,"['nonnegative', 'affirmative', 'positive']",negative is an antonym of <extra_id_0>
unkempt is an antonym of <extra_id_0>,"['unkempt', 'unkempts', 'slovenly', 'untidy', 'dishevelled']",unkempt is a synonym of <extra_id_0>
big is an antonym of <extra_id_0>,"['huge', 'magnanimous', 'adult', 'big', 'heavy', 'boastfully', 'vainglorious', 'large', 'prominent', 'bighearted', 'bigs', 'self-aggrandising', 'bad', 'ample']",big is a synonym of <extra_id_0>
big is a synonym of <extra_id_0>,"['little', 'small']",big is an antonym of <extra_id_0>
artificial is an antonym of <extra_id_0>,"['artificial', 'contrived', 'artificious', 'artificials']",artificial is a synonym of <extra_id_0>
artificial is a synonym of <extra_id_0>,['natural'],artificial is an antonym of <extra_id_0>
legged is an antonym of <extra_id_0>,"['leggeds', 'legged']",legged is a synonym of <extra_id_0>
legged is a synonym of <extra_id_0>,['legless'],legged is an antonym of <extra_id_0>
there is an antonym of <extra_id_0>,"['theres', 'thither', 'there', 'location']",there is a synonym of <extra_id_0>
murky is an antonym of <extra_id_0>,"['murkies', 'mirky', 'murky', 'dark', 'turbid']",murky is a synonym of <extra_id_0>
pulley is an antonym of <extra_id_0>,"['pulleys', 'machine', 'tool', 'pulley']",pulley is a synonym of <extra_id_0>
shirted is an antonym of <extra_id_0>,"['shirted', 'shirteds']",shirted is a synonym of <extra_id_0>
shirted is a synonym of <extra_id_0>,"['unshirted', 'shirtless']",shirted is an antonym of <extra_id_0>
taupe is an antonym of <extra_id_0>,"['fuscous', 'taupes', 'brown', 'taupe']",taupe is a synonym of <extra_id_0>
glowing is an antonym of <extra_id_0>,"['glowing', 'starting', 'radiance', 'glowings']",glowing is a synonym of <extra_id_0>
cooperative is an antonym of <extra_id_0>,"['accommodative', 'organization', 'cooperatives', 'association', 'cooperative', 'concerted']",cooperative is a synonym of <extra_id_0>
cooperative is a synonym of <extra_id_0>,"['competitive', 'adversarial']",cooperative is an antonym of <extra_id_0>
beloved is an antonym of <extra_id_0>,"['lover', 'beloved', 'beloveds', 'book']",beloved is a synonym of <extra_id_0>
spanish is an antonym of <extra_id_0>,"['castilian', 'hispanic', 'spanish', 'person', 'spaniard', 'Romance', 'spanishes', 'language']",spanish is a synonym of <extra_id_0>
packed is an antonym of <extra_id_0>,"['jam-packed', 'packeds', 'packed', 'rammed']",packed is a synonym of <extra_id_0>
bushy is an antonym of <extra_id_0>,"['bushies', 'shaggy-coated', 'bushy']",bushy is a synonym of <extra_id_0>
filthy is an antonym of <extra_id_0>,"['sleazy', 'cruddy', 'gruesome', 'filthies', 'filthy']",filthy is a synonym of <extra_id_0>
filthy is a synonym of <extra_id_0>,"['pristine', 'holy']",filthy is an antonym of <extra_id_0>
burly is an antonym of <extra_id_0>,"['resistant', 'firm', 'rugged', 'strapping', 'robust', 'burly', 'burlies', 'sturdy', 'strong']",burly is a synonym of <extra_id_0>
experimental is an antonym of <extra_id_0>,"['experimentals', 'observational', 'experimental']",experimental is a synonym of <extra_id_0>
chestnut is an antonym of <extra_id_0>,"['tree', 'fruit', 'horse', 'plant', 'brown', 'wood', 'nut', 'callus', 'chestnut', 'chestnuts']",chestnut is a synonym of <extra_id_0>
french is an antonym of <extra_id_0>,"['person', 'Romance', 'gallian', 'frenches', 'cowards', 'french']",french is a synonym of <extra_id_0>
italian is an antonym of <extra_id_0>,"['human', 'italish', 'person', 'italian', 'Romance', 'italians', 'European', 'european', 'westerner']",italian is a synonym of <extra_id_0>
distorted is an antonym of <extra_id_0>,"['distorted', 'misrepresented', 'distorteds', 'ill-shapen', 'band']",distorted is a synonym of <extra_id_0>
devoid is an antonym of <extra_id_0>,"['devoids', 'destitute', 'devoid']",devoid is a synonym of <extra_id_0>
japanese is an antonym of <extra_id_0>,"['human', 'japaneses', 'nipponic', 'Altaic', 'japanese', 'Nipponese', 'dandelion', 'asian', 'nihongo']",japanese is a synonym of <extra_id_0>
full is an antonym of <extra_id_0>,"['abounding', 'wide-cut', 'gunnels', 'replete', 'baggy', 'brim', 'max', 'entire', 'broad', 'glutted', 'fulls', 'complete', 'total', 'tonsils', 'embonpoint', 'gills', 'wax', 'walk', 'full']",full is a synonym of <extra_id_0>
full is a synonym of <extra_id_0>,"['partial', 'empty', 'incomplete']",full is an antonym of <extra_id_0>
smiley is an antonym of <extra_id_0>,"['smileys', 'smiling', 'smiley', 'emoticon']",smiley is a synonym of <extra_id_0>
serial is an antonym of <extra_id_0>,"['series', 'sequential', 'serials', 'broadcast', 'serial']",serial is a synonym of <extra_id_0>
serial is a synonym of <extra_id_0>,['parallel'],serial is an antonym of <extra_id_0>
shy is an antonym of <extra_id_0>,"['timid', 'diffident', 'throw', 'shy', 'shies']",shy is a synonym of <extra_id_0>
shy is a synonym of <extra_id_0>,"['bold', 'brazen', 'audacious']",shy is an antonym of <extra_id_0>
tubular is an antonym of <extra_id_0>,"['tubular', 'tubiform', 'tube-shaped', 'cannular', 'tubulars']",tubular is a synonym of <extra_id_0>
hexagonal is an antonym of <extra_id_0>,"['hexagonal', 'hexagonals', 'hexangular']",hexagonal is a synonym of <extra_id_0>
ashamed is an antonym of <extra_id_0>,"['ashameds', 'embarrassed', 'ashamed']",ashamed is a synonym of <extra_id_0>
ashamed is a synonym of <extra_id_0>,"['unashamed', 'proud']",ashamed is an antonym of <extra_id_0>
thai is an antonym of <extra_id_0>,"['human', 'thailander', 'Tai', 'thais', 'asian', 'thailandish', 'Siamese', 'thai']",thai is a synonym of <extra_id_0>
automatic is an antonym of <extra_id_0>,"['semiautomatic', 'weapon', 'reflexive', 'weapons', 'automatic', 'automatics', 'automatonlike', 'autoloading', 'gun', 'perfunctory']",automatic is a synonym of <extra_id_0>
automatic is a synonym of <extra_id_0>,"['manual', 'voluntary', 'stick']",automatic is an antonym of <extra_id_0>
strapped is an antonym of <extra_id_0>,"['strappeds', 'ripped', 'strapped']",strapped is a synonym of <extra_id_0>
ribbed is an antonym of <extra_id_0>,"['ribbed', 'ribbeds', 'costate']",ribbed is a synonym of <extra_id_0>
archaeologist is an antonym of <extra_id_0>,"['archaeologist', 'person', 'archaeologists', 'archeologist']",archaeologist is a synonym of <extra_id_0>
rusting is an antonym of <extra_id_0>,"['corrosion', 'rusting', 'rust', 'rustings', 'oxidation']",rusting is a synonym of <extra_id_0>
untouched is an antonym of <extra_id_0>,"['untoucheds', 'uninfluenced', 'untasted', 'untouched']",untouched is a synonym of <extra_id_0>
rude is an antonym of <extra_id_0>,"['rudes', 'natural', 'bad-mannered', 'rude', 'uncivil', 'bounderish']",rude is a synonym of <extra_id_0>
near is an antonym of <extra_id_0>,"['virtually', 'nigh', 'nears', 'approach', 'dear', 'near', 'close', 'nearly', 'approximate', 'penny-pinching']",near is a synonym of <extra_id_0>
near is a synonym of <extra_id_0>,['remote'],near is an antonym of <extra_id_0>
fetal is an antonym of <extra_id_0>,"['fetals', 'fetal', 'zygotal']",fetal is a synonym of <extra_id_0>
pebbly is an antonym of <extra_id_0>,"['pebbly', 'shingly', 'pebblies']",pebbly is a synonym of <extra_id_0>
regular is an antonym of <extra_id_0>,"['regular', 'unconstipated', 'uniform', 'follower', 'soldier', 'steady', 'veritable', 'patron', 'frequenter', 'normal', 'regulars', 'equable', 'size', 'weak']",regular is a synonym of <extra_id_0>
regular is a synonym of <extra_id_0>,"['irregular', 'new', 'goofy', 'abnormal', 'tall']",regular is an antonym of <extra_id_0>
late is an antonym of <extra_id_0>,"['lates', 'latterly', 'deep', 'recent', 'previous', 'belatedly', 'belated', 'late']",late is a synonym of <extra_id_0>
late is a synonym of <extra_id_0>,"['time', 'punctual', 'timely', 'early']",late is an antonym of <extra_id_0>
jubilant is an antonym of <extra_id_0>,"['jubilant', 'jubilants', 'delighted', 'exultant']",jubilant is a synonym of <extra_id_0>
